topics,Accepted,Compile Error,Runtime Error,Time Limit Exceeded,Wrong Answer,total_submissions,failure_rate
depth-first-search,1.0,4.0,1.0,0.0,0.0,6.0,0.8333333333333334
matrix,3.0,9.0,1.0,0.0,1.0,14.0,0.7857142857142857
union-find,2.0,6.0,1.0,0.0,0.0,9.0,0.7777777777777778
breadth-first-search,2.0,6.0,1.0,0.0,0.0,9.0,0.7777777777777778
backtracking,1.0,1.0,2.0,0.0,0.0,4.0,0.75
brainteaser,1.0,2.0,0.0,0.0,1.0,4.0,0.75
linked-list,5.0,10.0,3.0,0.0,1.0,19.0,0.7368421052631579
counting,3.0,6.0,1.0,0.0,0.0,10.0,0.7
binary-search,13.0,25.0,2.0,3.0,0.0,43.0,0.6976744186046512
greedy,6.0,10.0,1.0,0.0,2.0,19.0,0.6842105263157895
two-pointers,30.0,57.0,0.0,0.0,4.0,91.0,0.6703296703296703
recursion,5.0,7.0,3.0,0.0,0.0,15.0,0.6666666666666666
array,74.0,112.0,17.0,3.0,11.0,217.0,0.6589861751152074
sorting,22.0,38.0,0.0,0.0,1.0,61.0,0.639344262295082
hash-table,16.0,19.0,9.0,0.0,0.0,44.0,0.6363636363636364
dynamic-programming,20.0,25.0,3.0,0.0,6.0,54.0,0.6296296296296297
sliding-window,8.0,12.0,0.0,0.0,0.0,20.0,0.6
math,26.0,27.0,5.0,0.0,7.0,65.0,0.6
memoization,4.0,4.0,2.0,0.0,0.0,10.0,0.6
simulation,4.0,6.0,0.0,0.0,0.0,10.0,0.6
string,16.0,21.0,1.0,0.0,2.0,40.0,0.6
stack,3.0,3.0,0.0,0.0,1.0,7.0,0.5714285714285714
prefix-sum,5.0,6.0,0.0,0.0,0.0,11.0,0.5454545454545454
binary-indexed-tree,1.0,1.0,0.0,0.0,0.0,2.0,0.5
number-theory,2.0,2.0,0.0,0.0,0.0,4.0,0.5
ordered-set,1.0,1.0,0.0,0.0,0.0,2.0,0.5
segment-tree,1.0,1.0,0.0,0.0,0.0,2.0,0.5
merge-sort,1.0,1.0,0.0,0.0,0.0,2.0,0.5
divide-and-conquer,4.0,2.0,0.0,0.0,0.0,6.0,0.3333333333333333
database,61.0,0.0,12.0,0.0,14.0,87.0,0.2988505747126437
bit-manipulation,6.0,0.0,0.0,0.0,0.0,6.0,0.0
monotonic-queue,1.0,0.0,0.0,0.0,0.0,1.0,0.0
enumeration,2.0,0.0,0.0,0.0,0.0,2.0,0.0
heap-priority-queue,2.0,0.0,0.0,0.0,0.0,2.0,0.0
queue,1.0,0.0,0.0,0.0,0.0,1.0,0.0
quickselect,1.0,0.0,0.0,0.0,0.0,1.0,0.0
monotonic-stack,1.0,0.0,0.0,0.0,0.0,1.0,0.0
trie,1.0,0.0,0.0,0.0,0.0,1.0,0.0
